timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743902514.4239259,0,2/9,16/5,,,1/4,27/10,2/7,5/2,1/4,5/2,2/7,5/2,,,2/7,5/2,2/9,3,1/4,11/4,2/7,14/5,2/9,14/5,1/5,10/3,2/9,14/5,3/10,5/2,2/9,3,1/4,11/4,27/100,5/2,4/15,5/2,1/4,11/4,2/9,3,1/4,13/5,,,,,3/10,5/2,1/5,14/5,1/6,14/5
1743902548.6307123,1,2/9,16/5,,,3/10,23/10,2/7,5/2,2/7,9/4,1/3,9/4,,,1/3,11/5,3/10,5/2,1/3,11/5,1/3,12/5,2/9,14/5,1/4,11/4,2/9,14/5,3/10,5/2,1/4,11/4,1/3,11/5,33/100,11/5,3/10,9/4,10/33,12/5,1/3,11/5,3/10,9/4,,,,,3/10,5/2,1/5,14/5,1/6,9/4
1743902579.801107,2,5/16,47/20,,,2/11,7/2,2/7,5/2,1/3,2,1/5,10/3,,,1/3,11/5,3/10,5/2,4/11,2,4/11,11/5,2/9,14/5,2/7,5/2,2/9,14/5,3/10,5/2,2/11,7/2,1/3,11/5,1/6,18/5,2/13,18/5,10/33,12/5,3/10,12/5,1/3,21/10,,,,,3/10,5/2,1/5,14/5,1/6,19/10
1743902608.8505526,3,5/16,47/20,,,2/11,7/2,2/7,5/2,1/3,2,1/5,10/3,,,3/10,12/5,3/10,5/2,4/11,2,4/11,11/5,2/9,14/5,1/6,4,2/9,14/5,3/10,5/2,2/11,7/2,1/3,11/5,1/6,18/5,2/13,18/5,10/33,12/5,2/11,18/5,1/3,21/10,,,,,3/10,5/2,1/5,14/5,1/6,3
1743902638.01538,4,5/16,47/20,,,2/11,7/2,2/7,5/2,1/3,2,1/5,10/3,,,3/10,12/5,3/10,5/2,4/11,2,4/11,11/5,2/9,14/5,1/6,4,2/9,14/5,3/10,5/2,2/11,7/2,1/3,11/5,1/6,18/5,2/13,18/5,10/33,12/5,2/11,18/5,1/3,21/10,,,,,3/10,5/2,1/5,14/5,1/6,3
1743902667.1197982,5,5/16,47/20,,,2/11,7/2,1/5,10/3,2/13,7/2,1/5,10/3,,,2/11,18/5,1/6,19/5,1/6,7/2,2/13,4,2/9,14/5,1/6,4,1/6,7/2,2/11,7/2,2/11,7/2,1/6,4,1/6,18/5,2/11,7/2,2/11,15/4,2/11,18/5,1/6,15/4,,,,,2/11,7/2,2/11,3,1/6,3
1743902695.7010536,6,5/16,47/20,,,2/11,7/2,1/5,10/3,2/13,7/2,1/5,10/3,,,2/11,18/5,1/6,19/5,1/6,7/2,2/13,4,2/9,14/5,1/6,4,1/6,7/2,2/11,7/2,2/11,7/2,1/6,4,1/6,18/5,2/11,7/2,2/11,15/4,2/11,18/5,1/6,15/4,,,,,2/11,7/2,2/11,3,1/6,3
1743902724.3567858,7,1/5,7/2,,,1/5,16/5,2/9,10/3,2/13,7/2,1/5,10/3,,,2/11,18/5,1/6,19/5,1/6,7/2,2/13,4,1/6,18/5,1/6,4,1/6,7/2,2/11,7/2,2/11,7/2,1/6,4,1/6,18/5,2/13,15/4,2/11,15/4,2/11,18/5,1/6,15/4,,,,,2/11,7/2,2/11,2,1/6,10/3
1743902754.1124108,8,1/5,7/2,,,1/5,16/5,2/9,10/3,2/13,7/2,1/5,10/3,,,2/11,18/5,1/6,19/5,1/6,7/2,2/13,4,1/6,18/5,1/6,4,1/6,7/2,2/11,7/2,2/11,7/2,1/6,4,1/6,18/5,2/13,15/4,2/11,15/4,2/11,18/5,1/6,15/4,,,,,2/11,7/2,2/11,2,1/6,10/3
1743902783.4685082,9,1/5,7/2,,,2/9,3,1/4,3,2/13,7/2,2/9,31/10,,,2/9,16/5,1/6,19/5,1/6,7/2,2/13,4,1/6,18/5,1/6,4,1/6,7/2,1/5,10/3,2/11,7/2,1/6,4,11/50,16/5,1/5,10/3,1/5,7/2,2/9,18/5,2/11,7/2,,,,,1/5,10/3,2/11,14/5,1/6,11/4
