timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets
1743902311.509818,0,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,11/50,3,1/5,16/5,1/5,7/2,2/9,3,2/11,7/2,,,,,2/9,3,1/100,2/11,1/5,4/7
1743902341.7842896,1,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,11/50,3,1/5,16/5,1/5,7/2,2/9,3,2/11,7/2,,,,,2/9,3,1/100,2/11,1/5,4/7
1743902371.7574599,2,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/15,4,1/5,10/3,2/11,10/3,2/9,3,1/5,10/3,1/7,4,2/11,10/3,1/5,16/5,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,13/5,1/5,13/5
1743902400.9884903,3,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/13,18/5,1/5,10/3,1/5,3,2/9,3,1/5,10/3,1/7,4,2/15,4,2/13,4,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,3,2/13,13/5
1743902430.4186058,4,1/6,4,,,2/11,7/2,2/9,3,1/7,15/4,1/5,10/3,,,2/9,3,11/50,16/5,1/7,4,1/6,4,2/13,18/5,1/5,10/3,1/5,3,2/9,3,1/5,10/3,1/7,4,2/15,4,2/13,4,2/9,3,2/9,3,2/11,7/2,,,,,2/9,3,2/11,3,2/13,13/5
1743902459.429371,5,1/6,4,,,1/7,4,2/13,15/4,1/7,15/4,1/6,4,,,2/9,3,2/15,9/2,1/7,4,2/13,9/2,2/15,4,1/6,4,1/5,3,2/9,3,2/11,7/2,1/7,4,2/15,4,2/13,15/4,1/6,4,2/11,19/5,1/7,4,,,,,2/9,3,2/11,13/5,2/13,7/2
1743902489.5078688,6,1/6,4,,,1/8,9/2,2/13,15/4,1/7,15/4,1/7,9/2,,,2/11,19/5,2/15,9/2,1/7,4,2/13,9/2,2/13,18/5,1/7,9/2,1/5,3,2/11,7/2,2/11,7/2,1/7,4,1/7,4,2/13,15/4,1/6,4,1/6,19/5,1/7,4,,,,,2/11,7/2,2/11,2/11,2/13,7/2
1743902518.6009388,7,1/6,4,,,1/8,9/2,2/13,15/4,1/7,15/4,1/7,9/2,,,2/11,19/5,2/15,9/2,1/7,4,2/13,9/2,2/13,18/5,1/7,9/2,1/5,3,2/11,7/2,2/11,7/2,1/7,4,1/7,4,2/13,15/4,1/6,4,1/6,19/5,1/7,4,,,,,2/11,7/2,2/11,2/11,2/13,7/2
1743902548.5214558,8,1/6,4,,,1/9,5,1/8,9/2,1/10,19/4,1/10,11/2,,,1/7,9/2,1/10,27/5,1/7,4,2/15,5,2/15,4,1/8,5,1/8,17/4,2/11,7/2,2/11,7/2,1/9,5,1/10,24/5,1/8,9/2,1/8,5,1/7,9/2,1/9,5,,,,,2/11,7/2,1/8,461/100,1/6,7/2
1743902575.009961,9
1743902645.6938431,10,2/15,19/4,,,1/9,5,1/8,9/2,1/8,41/10,1/8,5,,,1/7,9/2,1/10,27/5,1/7,4,2/13,9/2,2/15,4,1/6,4,1/8,17/4,2/11,7/2,2/11,7/2,1/7,4,1/8,22/5,2/13,4,1/8,5,1/7,9/2,1/7,4,,,,,2/11,7/2,2/13,7/2,2/13,13/8
1743902675.3346212,11,2/15,19/4,,,1/8,9/2,1/7,4,1/8,41/10,1/7,9/2,,,1/6,4,1/9,5,1/7,4,2/13,9/2,2/15,4,1/6,4,1/8,17/4,2/11,7/2,2/11,7/2,1/7,4,1/9,23/5,2/13,4,1/6,4,1/6,4,1/7,4,,,,,2/11,7/2,1/6,441/100,1/7,401/100
1743902704.1999645,12,2/15,19/4,,,1/8,9/2,1/7,4,1/8,41/10,1/7,9/2,,,1/6,4,1/9,5,1/7,4,2/13,9/2,2/15,4,1/6,4,1/8,17/4,2/11,7/2,2/11,7/2,1/7,4,1/9,23/5,2/13,4,1/6,4,1/6,4,1/7,4,,,,,2/11,7/2,1/6,441/100,1/7,401/100
1743902733.8006134,13,1/6,4,,,1/8,9/2,1/7,4,1/8,41/10,1/7,9/2,,,1/6,4,1/9,5,1/7,4,2/13,9/2,2/15,4,1/6,4,2/13,15/4,2/11,7/2,2/11,7/2,1/7,4,1/9,23/5,2/13,4,1/6,4,1/6,4,1/7,4,,,,,2/11,7/2,2/15,421/100,1/7,401/100
1743902762.713422,14,1/6,4,,,1/8,9/2,1/7,4,1/8,41/10,1/7,9/2,,,1/6,4,1/9,5,1/7,4,2/13,9/2,2/15,4,1/6,4,2/13,15/4,2/11,7/2,2/11,7/2,1/7,4,1/9,23/5,2/13,4,1/6,4,1/6,4,1/7,4,,,,,2/11,7/2,2/15,421/100,1/7,401/100
1743902794.412932,15,1/6,4,,,1/9,5,1/7,4,1/8,41/10,1/8,5,,,2/13,4,1/9,5,1/7,4,2/13,9/2,2/15,23/5,1/6,5,2/13,15/4,1/6,4,1/7,9/2,1/7,4,1/10,5,1/8,4,1/6,4,1/6,4,1/8,9/2,,,,,2/11,7/2,1/100,421/100,2/13,401/100
1743902824.8287568,16,2/15,19/4,,,1/9,5,1/7,4,1/9,9/2,1/8,5,,,2/13,4,1/10,11/2,1/8,9/2,2/15,5,1/10,23/5,1/7,9/2,2/13,15/4,1/6,4,1/7,9/2,1/8,9/2,1/10,5,1/7,9/2,1/8,4,1/6,4,1/8,9/2,,,,,2/11,7/2,1/6,401/100,1/8,1/6
1743902854.4804282,17,2/15,19/4,,,1/8,9/2,1/7,3,1/9,9/2,1/8,5,,,1/4,4,1/10,11/2,1/8,9/2,2/15,5,1/6,18/5,1/5,3,2/13,15/4,1/6,4,1/4,11/4,1/9,5,1/6,5,2/13,4,1/8,4,1/6,10/3,1/8,9/2,,,,,2/11,7/2,1/6,401/100,1/8,1/6
1743902883.952406,18,2/15,19/4,,,1/8,9/2,1/7,3,1/9,9/2,1/8,5,,,1/4,4,1/10,11/2,1/8,9/2,2/15,5,1/6,18/5,1/5,3,2/13,15/4,1/6,4,1/4,11/4,1/9,5,1/6,5,2/13,4,1/8,4,1/6,10/3,1/8,9/2,,,,,2/11,7/2,1/6,401/100,1/8,1/6
1743902913.346948,19,2/15,13/5,,,2/9,3,1/7,4,1/4,5/2,1/6,4,,,2/13,29/10,2/9,16/5,2/7,5/2,2/7,13/5,1/10,23/5,3/10,11/4,1/4,15/4,3/10,5/2,1/3,9/4,2/9,11/4,6/25,14/5,2/9,18/5,1/4,5,1/5,13/5,1/6,15/4,,,,,3/10,5/2,2/9,19/10,1/6,11/4
1743902944.485525,20,2/15,13/5,,,2/9,3,1/7,4,1/4,5/2,1/6,4,,,2/13,29/10,2/9,16/5,2/7,5/2,2/7,13/5,1/10,23/5,3/10,11/4,1/4,15/4,3/10,5/2,1/3,9/4,2/9,11/4,6/25,14/5,2/9,18/5,1/4,5,1/5,13/5,1/6,15/4,,,,,3/10,5/2,2/9,19/10,1/6,11/4
1743902976.8712244,21,2/7,13/5,,,1/5,16/5,1/7,4,2/7,9/4,1/6,14/5,,,2/13,4,6/25,3,2/9,3,2/7,13/5,1/6,18/5,1/5,5/2,1/4,51/20,3/10,5/2,1/3,9/4,1/4,4,6/25,14/5,2/13,18/5,1/6,4,2/13,4,2/7,12/5,,,,,3/10,5/2,2/13,7/2,1/6,7/2
1743903006.275845,22,2/7,13/5,,,1/8,9/2,1/7,4,2/7,9/4,1/6,14/5,,,1/6,4,6/25,3,2/9,3,2/7,13/5,1/10,23/5,1/7,9/2,1/4,51/20,3/10,5/2,1/3,9/4,1/4,4,6/25,14/5,1/5,16/5,2/11,15/4,2/7,13/5,1/4,13/5,,,,,3/10,5/2,2/13,7/2,1/6,5/2
1743903036.0377748,23,2/7,13/5,,,1/8,9/2,1/7,4,2/7,9/4,1/6,14/5,,,1/6,4,6/25,3,2/9,3,2/7,13/5,1/10,23/5,1/7,9/2,1/4,51/20,3/10,5/2,1/3,9/4,1/4,4,6/25,14/5,1/5,16/5,2/11,15/4,2/7,13/5,1/4,13/5,,,,,3/10,5/2,2/13,7/2,1/6,5/2
1743903066.9402242,24,2/7,13/5,,,1/8,9/2,2/13,15/4,1/11,51/10,1/5,10/3,,,1/4,14/5,8/25,12/5,2/9,3,1/9,23/4,3/10,9/4,1/14,13/2,2/11,16/5,3/10,5/2,1/3,9/4,2/9,3,6/25,14/5,1/10,5,1/8,5,2/7,13/5,1/10,5,,,,,3/10,5/2,2/13,7/2,1/6,451/100
1743903102.8967927,25,2/7,13/5,,,1/8,9/2,2/13,15/4,1/10,19/4,1/5,10/3,,,1/9,5,8/25,12/5,1/9,5,2/15,5,3/10,9/4,1/14,13/2,2/11,16/5,3/10,5/2,1/3,9/4,1/10,11/2,6/25,14/5,1/10,5,1/8,5,1/9,5,1/9,5,,,,,3/10,5/2,2/13,7/2,1/6,451/100
1743903132.6687837,26,2/7,13/5,,,1/9,5,2/13,15/4,1/10,19/4,1/8,5,,,1/9,5,8/25,12/5,1/9,5,2/15,5,3/10,9/4,1/14,6,2/11,16/5,3/10,5/2,1/3,9/4,1/10,11/2,6/25,14/5,1/10,5,1/8,5,1/9,5,1/9,5,,,,,3/10,5/2,1/8,49/10,1/6,451/100
